year,title,status,public_pdf_in_zip,folder,filename,agreements,sha256,size_bytes,evidence_basis,ack_or_funding_excerpt,notes
2018,A laser-customizable insole for selective topical oxygen delivery to diabetic foot ulcers,included_public_pdf,yes,public_pdfs,2018_Jiang_A_laser_customizable_insole_for_selective_topical_oxygen_delivery.pdf,,f15e86e42f2c82959b675b29911e54fcdbc6c7901698680bcc67a5ffb595e4d5,1564761,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"t is important to verify the delivery rate of oxygen when the insole is under low pressures (e.g., when the person is Acknowledgments sitting or merely resting the foot, rather than standing/walking). The authors would like to thank the staff at Purdue University To simulate this condition, oxygen was permeated through Birck Nanotechnology Center and the Ziaie Biomedical an ablated membrane under a constant pressure of 2.28 kPa. Microdevices Laboratory mem",PDF text explicitly says funding was provided by NextFlex PC 1.0 Project.
2018,Extended-Time Process Consistency and Process-Property Relationships for Flexible Additive-Printed Electronics,included_public_pdf,yes,public_pdfs,2018_Extended_Time_Process_Consistency_and_Process_Property_Relationships_for_Flexible_Additive_Printed_Electronics.pdf,FA8650-15-2-5401,d8cab65b27b6137f90b535aeddd2306e555a44a9c468c514354e3b879380ef5d,6814021,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"OH, USA Scott Miller NextFlex Manufacturing Institute CA, USA ABSTRACT Traditionally, a combination of imaging and plating based Key words: Additive Printed Electronics, Aerosol Jet, subtractive processes have been used for fabrication of Flexible Electronics. printed circuit assemblies to form the needed circuitry on rigid and flexible laminates. In addition to c",PDF text explicitly cites NextFlex OPC 1.0 support and AFRL agreement.
2019,A mass-customizable dermal patch with discrete colorimetric indicators for personalized sweat rate quantification,included_public_pdf,yes,public_pdfs,s41378-019-0067-0.pdf,FA8650-15-2-5401,9bd32bfd09cf76bea586889624145d6d567e2c6f6b69118de21718a8382e358c,1437176,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"least in triplicate. source case, a ﬁxed volume of the liquid was placed at Acknowledgements one end of the strip. The wicking rate was calculated by The authors thank the rest of the Ziaie Biomedical Microdevices Laboratory for measuring the time required for water to wick to various their helpful comments as well as the staff of the Birck Nanotechnology Center distances. Similarly, the wicking speeds under ﬂow- at Purdue University for their support. This research",PDF text explicitly says the research was supported in part by NextFlex (P.C. 1.0).
2019,Effect of Process Parameters on Aerosol Jet Printing of Multi-Layer Circuitry,included_public_pdf,yes,public_pdfs,2019_Effect_of_Process_Parameters_on_Aerosol_Jet_Printing_of_Multi_Layer_Circuitry.pdf,,3873272aa34ab4bf25b7ac4399f46a0f698a3986df3e9c109f81d1f0be86ded2,2652157,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"Air Force Research Labs, Wright-Patterson AFB, OH (3) NextFlex Manufacturing Institute, San Jose, CA Tele: +1(334)844-3424; E-mail: lall@auburn.edu ABSTRACT NOMENCLATURE Printing technologies such as Aerosol Jet provides the AJP Aerosol Jet Printing freedom of miniaturizing interconnects and producing fine pitch UA Ultrasonic Atom",PDF text explicitly cites NextFlex OPC 1.0 sponsorship.
2019,Flexure and Twist Test Reliability Assurance of Flexible Electronics,included_public_pdf,yes,public_pdfs,2019_Flexure_and_Twist_Test_Reliability_Assurance_of_Flexible_Electronics.pdf,FA8650-15-2-5401,dbf7f1c31580c8ba087571fcf2560f73a150f2bc1ee7e697751a63b6faf51b57,2487570,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"US Air Force Research Labs, Wright-Patterson AFB, OH (3) NextFlex Manufacturing Institute, San Jose, CA Tele: +1(334)844-3424; E-mail: lall@auburn.edu electronics. [1]. Mechanical stresses are induced on flexible ABSTRACT electronics when subjected to bending, which can lead to Additively P",PDF text explicitly cites NextFlex PC 2.5 sponsorship.
2019,Low-voltage high-performance flexible digital and analog circuits based on ultrahigh-purity semiconducting carbon nanotubes,included_public_pdf,yes,public_pdfs,2019_Lei_Low_voltage_high_performance_flexible_digital_and_analog_circuits.pdf,FA8650-15-2-5401,752118b24f19d914038bcdf775fd3f6eeda3599c5d3cb9cea7175e7ec23ab23a,3825039,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"Open Access This article is licensed under a Creative Commons Acknowledgements Attribution 4.0 International License, which permits use, sharing, This material is based, in part, on research sponsored by Air Force Research Laboratory adaptation, distribution and reproduction in any medium or format, as long as you give under agreement number FA8650-15-2-5401, as conducted thro",PDF acknowledgements explicitly mention NextFlex.
2019,Process Design Kit and Design Automation for Flexible Hybrid Electronics,included_public_pdf,yes,public_pdfs,2019_Huang_Process_Design_Kit_and_Design_Automation_for_Flexible_Hybrid_Electronics_DATE.pdf,FA8650-15-2-5401,c5446d66069850540d4549906c6bb3111fd620d51d91fba6b3175c55013c0fed,1568443,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"ain amplifier based on Pseudo-CMOS inverters. The total physical size of 350x350 μm2 and the voltage gain can VI. ACKNOWLEDGMENT be adjusted with VTUNE. This material is based, in part, on research sponsored by Air Force Research Laboratory under agreement number FA8650-15-2-5401, as conducted through the flexible hybrid",Conference paper; PDF acknowledgement explicitly mentions NextFlex.
2019,Process Design Kit and Design Automation for Flexible Hybrid Electronics,included_public_pdf,yes,public_pdfs,2019_Huang_Process_Design_Kit_and_Design_Automation_for_Flexible_Hybrid_Electronics_JMEP.pdf,FA8650-15-2-5401,77f4858eed28c82bd2740dd729a694eb9e1e42567e0972bececad3fb34e94d10,1898783,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"e, and verify complex TFT digital logic with thousands of CNT-TFTs within a short period of ACKNOWLEDGMENTS time. The simulated performance and power also provide a This material is based, in part, on research sponsored by Air good correlation with the fabricated CNT-TFT circuits at low Force Research Laboratory under agreement number FA8650- supply voltages (3V) [4]. 15-2-5401, as conducted through the FHE ma",Journal version; PDF acknowledgement explicitly mentions NextFlex.
2019,Screen-Printed Flexible Coplanar Waveguide Transmission Lines: Multi-physics Modeling and Measurement,included_public_pdf,yes,public_pdfs,2019_Screen_Printed_Flexible_Coplanar_Waveguide_Transmission_Lines_Multi_physics_Modeling_and_Measurement.pdf,FA8650-15-2-5401,d9aebe4d2b4b482dd00bbc45d353468b54a81ef56bd7ca0e128e2f5fbbdfd4ef,1362363,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"ile bending cases. frequencies. ACKNOWLEDGMENT This material is based, in part, on research sponsored by Air Force Research Laboratory under agreement number FA8650-15-2-5401, as conducted through the f",PDF acknowledgement explicitly mentions NextFlex.
2019,Warpage of Flexible-Board Assemblies with BGAs During Reflow and Post-Assembly Usage,included_public_pdf,yes,public_pdfs,2019_Warpage_of_Flexible_Board_Assemblies_with_BGAs_During_Reflow_and_Post_Assembly_Usage.pdf,,0891938d3003a82f90dcfba029dd3df098a526ae25f17c30eca33b6059913d8a,2611330,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"Jason Marsh(3) (3) NextFlex Manufacturing Institute, CA, USA lall@auburn.edu ABSTRACT flexible or rigid, their effect and comparison on the Flexible printed circuit boards lack the structural stiffness of deformations or strains in solder interconnects must be the rigid printed circuit counterparts. Thermo-mechan",PDF acknowledgement explicitly cites NextFlex PC 2.5 sponsorship.
